 client_name,raw,raw-inprocess,raw-completed,processed,processed-uploading,processed-completed
a1prd.no.trinity-health.org, 0, 0, 14537, 0, 0, 7375 
akprod.fmhdc.lhsnet.org, 0, 6, 17464, 2, 18, 4759 
careb.chwb_ca.cernerasp.com, 0, 0, 1361, 0, 0, 1263 
ecisa.chw_ca.cernerasp.com, 0, 0, 116, 0, 0, 27 
p0022.nkcmh_mo.cernerasp.com, 0, 2, 8866, 0, 9, 4651 
p0028.dtrt_mi.cernerasp.com, 0, 0, 14616, 0, 17, 4429 
p0033.chld_mn.cernerasp.com, 0, 0, 14754, 0, 10, 4679 
p0036.merc_il.cernerasp.com, 0, 0, 8654, 3, 9, 4150 
p005.mth_tn.cernerasp.com, 0, 6, 8775, 2, 7, 4333 
p0070.ault_oh.cernerasp.com, 0, 0, 8867, 0, 11, 4700 
p0102.ghs_ia.cernerasp.com, 0, 4, 8866, 0, 9, 4705 
p0108.rmc_sc.cernerasp.com, 0, 0, 14674, 0, 10, 4698 
p0116.midh_mi.cernerasp.com, 0, 2, 14688, 0, 7, 4711 
p0138.hs_al.cernerasp.com, 0, 0, 14720, 0, 0, 7884 
p0141.hart_mo.cernerasp.com, 0, 15, 14679, 0, 17, 4561 
p0143.ccha_ct.cernerasp.com, 0, 12, 8863, 2, 15, 4775 
p0148.rutl_vt.cernerasp.com, 0, 0, 10334, 2, 3, 4556 
p0151.oak_mi.cernerasp.com, 0, 0, 14513, 2, 10, 4770 
p0182.medc_de.cernerasp.com, 0, 8, 8858, 0, 12, 4554 
p0200.ejef_la.cernerasp.com, 0, 9, 14725, 0, 16, 4722 
p0224.ahsw_ca.cernerasp.com, 0, 0, 11026, 0, 4, 4285 
p0234.bltm_wi.cernerasp.com, 0, 16, 17604, 0, 7, 4724 
p0245.hmh_ca.cernerasp.com, 0, 0, 1024, 0, 0, 637 
p0268.lcox_mo.cernerasp.com, 0, 12, 14726, 0, 8, 4745 
p101.cvha_ks.cernerasp.com, 0, 15, 14690, 3, 7, 4600 
p1011.bh_al.cernerasp.com, 0, 18, 14717, 0, 9, 4626 
p1043.lapt_in.cernerasp.com, 0, 2, 8878, 0, 10, 4824 
p0148.rutl_vt.cernerasp.com, 0, 0, 10334, 2, 3, 4556 
p1048.sjhs_ok.cernerasp.com, 0, 14, 14710, 0, 14, 4624 
p108.east_me.cernerasp.com, 0, 12, 14643, 0, 14, 4647 
p1085.cmh_fl.cernerasp.com, 0, 9, 14743, 0, 12, 4768 
p115.umc_tx.cernerasp.com, 0, 0, 8845, 0, 11, 5005 
p117.fmol_la.cernerasp.com, 0, 12, 8841, 3, 5, 4470 
p118.lrmc_fl.cernerasp.com, 0, 12, 14675, 254, 275, 4064 
p121.albr_pa.cernerasp.com, 0, 0, 8865, 0, 89, 4533 
p122.wjef_la.cernerasp.com, 0, 0, 14750, 0, 0, 8379 
p126.univ_nm.cernerasp.com, 0, 0, 13098, 0, 2, 4610 
p1318.win_mn.cernerasp.com, 0, 0, 14606, 0, 8, 4729 
p134.stju_tn.cernerasp.com, 0, 0, 8853, 3, 13, 4791 
p135.chld_dc.cernerasp.com, 0, 2, 8867, 2, 12, 4711 
p136.norw_ct.cernerasp.com, 0, 0, 16425, 0, 0, 8418 
p137.ftmc_oh.cernerasp.com, 0, 15, 14659, 0, 4, 4548 
p144.dubo_pa.cernerasp.com, 0, 6, 8871, 0, 8, 4706 
p1467.city_ca.cernerasp.com, 0, 8, 8862, 0, 7, 4640 
p149c.ahs_fl.cernerasp.com, 0, 8, 8752, 0, 9, 7047 
p149e.ahs_fl.cernerasp.com, 0, 8, 12570, 0, 10, 5795 
p150.nash_nc.cernerasp.com, 0, 7, 8850, 0, 6, 4716 
p1511.baxt_ar.cernerasp.com, 0, 7, 8874, 0, 15, 8234 
p152c.uhs_pa.cernerasp.com, 0, 3, 14652, 2, 9, 4512 
p152e.uhs_pa.cernerasp.com, 0, 0, 15481, 2, 143, 4299 
p152w.uhs_pa.cernerasp.com, 0, 0, 14587, 0, 18, 4298 
p153.watr_ct.cernerasp.com, 0, 9, 14723, 0, 5, 4754 
p1539.crh_in.cernerasp.com, 0, 0, 8852, 0, 3, 4756 
p154.anmc_ak.cernerasp.com, 0, 6, 11182, 0, 17, 4760 
p155.mphh_ca.cernerasp.com, 0, 9, 14738, 0, 44, 4718 
p1568.utwn_pa.cernerasp.com, 0, 12, 14728, 3, 5, 4697 
p1578.scnt_ms.cernerasp.com, 0, 13, 14733, 0, 12, 4748 
p159.unvr_ny.cernerasp.com, 0, 10, 8853, 0, 6, 4548 
p1617.nymh_ny.cernerasp.com, 0, 0, 14711, 0, 5, 4642 
p163.palo_ca.cernerasp.com, 0, 21, 14722, 0, 5, 4721 
p164.choc_ca.cernerasp.com, 0, 7, 14741, 3, 6, 4703 
p1646.pha_sc.cernerasp.com, 0, 0, 8816, 0, 6, 4463 
p170.fthc_wi.cernerasp.com, 0, 3, 14308, 0, 6, 4743 
P1751.flho_fl.cernerasp.com, 0, 6, 14529, 0, 10, 4144 
p197.char_nc.cernerasp.com, 0, 0, 15217, 195, 0, 7813 
p1987.wrmc_ar.cernerasp.com, 0, 6, 8868, 3, 5, 4619 
p205.sgen_oh.cernerasp.com, 0, 6, 8870, 0, 14, 4678 
p215.napl_fl.cernerasp.com, 0, 10, 8843, 0, 16, 4674 
p220.rex_nc.cernerasp.com, 0, 0, 12584, 0, 6, 3207 
p2200.crtn_mi.cernerasp.com, 0, 9, 14720, 3, 7, 4688 
p221.lacj_ca.cernerasp.com, 0, 0, 14731, 0, 0, 8531 
p227.ohc_ok.cernerasp.com, 0, 12, 8842, 0, 2, 4452 
p23.tual_or.cernerasp.com, 0, 12, 14697, 0, 8, 4755 
p230.msjh_nc.cernerasp.com, 0, 6, 8841, 0, 8, 4655 
p232.atln_nj.cernerasp.com, 0, 6, 14684, 0, 5, 4596 
p233.univ_ut.cernerasp.com, 0, 0, 14739, 0, 2, 4659 
